ds,yhat,yhat_lower,yhat_upper
2010-12-01,28417.67850432024,11856.955326205358,45679.029085325565
2010-12-02,37037.48375872389,20533.034103396265,54354.303285724905
2010-12-03,30123.96976366551,13320.882930877608,46650.93765309047
2010-12-05,18843.641945643045,1959.4552179471234,36609.54060780808
2010-12-06,32588.483854828046,16646.97592271909,49270.870144461616
2010-12-07,37343.4057941299,20222.684002657646,53458.18384131325
2010-12-08,34856.33506897015,18232.884738646047,51253.73927989784
2010-12-09,42181.90690121235,26165.742447728975,60449.01123428125
2010-12-10,33854.92161045874,17848.029265359226,50065.22086316017
2010-12-12,19517.92780965761,2838.181170780959,37412.99950296161
2010-12-13,31689.23691914173,15529.835738768024,47366.14571883829
2010-12-14,34888.932188856445,19479.371594653392,51662.74951631335
2010-12-15,30901.36591284882,14122.699292866631,47950.53915662311
2010-12-16,36816.537817941695,20610.647444329865,54605.50094564323
2010-12-17,27202.626903507524,11393.126617408589,44709.25079978684
2010-12-19,10780.59595077588,-4856.150810556976,27462.869714651668
2010-12-20,22203.10266750238,5863.580548475592,38737.75905189999
2010-12-21,24874.77623197038,7884.940887902423,41073.47149718837
2010-12-22,20591.999790271904,4186.674904851531,36584.48946997293
2010-12-23,26451.025597496642,8444.111401987731,41323.15005973419
2011-01-04,20061.958714182343,4021.480718614677,36064.54317894258
2011-01-05,18279.8290920042,747.9837117663376,35094.55479578086
2011-01-06,26643.951902885437,10683.11378648742,44567.44426141615
2011-01-07,19660.26491893633,2619.3858457177157,36346.057189726525
2011-01-09,8775.02384361768,-6984.264141554238,24031.587457684356
2011-01-10,22966.23474490804,5412.872797160044,39736.63163637545
2011-01-11,28315.66978740613,12806.934264771364,43707.22509874483
2011-01-12,26554.522001604502,10369.632138275705,44052.929067428624
2011-01-13,34718.376306855745,18587.40555238968,51034.37475237656
2011-01-14,27321.082034691688,10760.536093844476,44353.788715039445
2011-01-16,15024.213922266397,-935.2857237703885,32344.987651767842
2011-01-17,28260.250565252485,11778.21886524166,46580.67431152762
2011-01-18,32522.7444574842,16289.492998449648,49368.44795735418
2011-01-19,29572.835207060118,13871.87434433282,46576.65506507218
2011-01-20,36478.350682667675,20632.634047500083,51681.52424793876
2011-01-21,27786.798145026845,10995.619991887228,44034.57074546895
2011-01-23,12932.822011508882,-4046.175506054331,29276.999061824878
2011-01-24,24970.728249610132,8823.858720632306,42400.58003757818
2011-01-25,28129.796550412317,11573.89786586509,45924.426002640605
2011-01-26,24198.495637553533,8068.133490550966,40701.2419193688
2011-01-27,30268.338513846837,13546.452467716299,47442.46541941442
2011-01-28,20906.28335819065,4811.124817019578,37695.19617334091
2011-01-30,5260.767822365013,-10578.063326572641,21586.9322619292
2011-01-31,17191.828720899874,-1098.3853025623132,33017.80615387682
2011-02-01,20437.36393011478,3945.756611887557,36649.391653624356
2011-02-02,16779.864733635175,269.6114611752256,34226.458017118806
2011-02-03,23299.92614662001,6333.710265558026,38723.863290204696
2011-02-04,14549.020532674022,-1895.3993876170514,30626.734362283256
2011-02-06,526.8873426749597,-16851.486663580836,17380.193777414173
2011-02-07,13421.334433903463,-3338.1701977692255,30642.996378711527
2011-02-08,17694.9414378456,1529.815562524598,33872.05002375631
2011-02-09,15101.140143263452,-1563.099608046883,32812.91387131504
2011-02-10,22691.074281471443,6132.545296404442,39408.94011295266
2011-02-11,14987.201330725351,-1661.158072721636,31402.156516562267
